comment_id,Comment,abuse_type,platform,lang,cur_emotion,final_emotion,final_polarity,is_correct?,notes
C00337,এ সমস্ত বাবা-মারা ছেলে সন্তানদেরকে ছোটবেলা থেকেই আল্লাহর দ্বীনের শিক্ষা দেয় না শুধুমাত্র দুনিয়াবী শিক্ষায় শিক্ষিত করে যার উদ্দেশ্য শুধু টাকা কামানো আর মানুষ বানানো আর মানুষ হাওয়া মানে এক ধরনের ধর্মহীনতা। এজন্য শেষ বয়সে এই সন্তানের বাবা আমার খোঁজখবর নেয় না এবং যত্ন নেয় না। এজন্য সবার উচিত ছোটবেলা থেকে সন্তানকে আল্লাহর দ্বীনের শিক্ষা দেওয়া এবং কোরআন সুন্নাহ অনুযায়ী জীবন যাপন করা ইনশাআল্লাহ আশা করা যায় যদি বা মারা তার সন্তানকে আলাউদ্দিনের শিক্ষা দেয় এবং কোরআন সুন্নাহ অনুযায়ী জীবন-যাপনের শিক্ষা দেয় সে সমস্ত সন্তানেরা বাবাকে শেষ বছরের দেখবে এবং যত্ন করবে বেশিরভাগ ক্ষেত্রে। আর দুনিয়াবি শিক্ষা বিশ্বকাপ ক্ষেত্রে দুনিয়াবী সম্মান আর টাকা কামানোর ক্ষেত্রে ব্যবহৃত হয় আর শেষ বসে বাপ মাকে বিরক্ত মনে করে।,Neglect,YouTube,bengali,Victim-blaming,Victim-blaming,Negative,,
C00399,আপনার অপরাধের বিচার আগে হওয়া দরকার। (১) কুলাঙ্গার পয়দা করেছেন (২) আপনি আপনার সম্পদ ছেলেকে ভোগ করার সুযোগ দিয়েছেন। (৩) আপনি এ রকম কুলাঙ্গারকে ত্যাজ্যপুত্র করেন নাই। (৪) এক বছর যাবৎ আপনার ঘরভাড়া ছেলে নিচ্ছে আপনি তার বিরুদ্ধে কোন আইনগত ব্যবস্থা নেননি। (৫) আপনি তার নির্দেশে বাড়ী ছেড়ে বৃদ্ধাশ্রমে গিয়ে ছেলেকে প্রশ্রয় দিয়েছেন। (৬) আপনি আপনার বাসায় কুলাঙ্গারকে ঢুকতে বাধা দেন নাই কেন ? আপনি বাড়ীঘর সম্পদ এগুলো কোন জনকল্যানমূলক প্রতিষ্ঠােনে দান করে দেন। আপনি কুলাঙ্গারকে ছেলে বলবেন না এবং নাতি পাতি এগুলো কুলাঙ্গারের ঘরের কুলাঙ্গারগুলোকেও কোন সংযোগ রাখার দরকার নেই কারন এগুলোও ভবিষ্যতে কুলাঙ্গার হবে।,Verbal Abuse,YouTube,bengali,Victim-blaming,Victim-blaming,Negative,,
C00217,এইজন্য ছেলেমেয়েকে ইসলাম শিক্ষা এবং নৈতিক শিক্ষা দিতে হয় ইসলামে যা যা আছে সেগুলো শিক্ষা দিতে হয় এবং সব ক্ষেত্রে দেখা যায় যে মহিলারা তার শশুর শাশুড়ির সাথে দুর্ব্যবহার করে এবং যে লোক তার বাবা-মায়ের সাথে দুর ব্যবহার করে অথবা তাদের খোজ খবর নেয় না দায়িত্ব পালন করে না। তারাও একটা বয়সে যেয়ে করুন পরিণতির সামনে পরে। সবচেয়ে বড় বিষয় হারাম উপার্জন করা ঠিক না সেই হারাম উপার্জন দিয়ে শেষ বয়সে করুন পরিণতি তৈরি হয় তাই প্রত্যেকেই তার কর্মফল ভোগ করে পরিণতির সামনা করে। এবং যাদের সমর্থ্য আছে সেই লোকদের দুই তিনটা বিয়ে করা উচিত অনেক ছেলে-মেয়ে থাকলে এই সমস্যায় পড়তে হয় না,Neglect,YouTube,bengali,Victim-blaming,Victim-blaming,Negative,,
C01258,"More likely your income was not Halal, no one can take your Halal income, it is protected by Allah, Allah is fair, you make your income halal, give zakat the right way and ask Allah to protect you, and inshallah you will be successful. Learn about Islam, we Muslim have a powerful guide, follow it blindly and Allah will provide, ask Allah for what you deserve, your need, not what you want, Allah will help the needy not the greedy, believe me when I say this, Allah loves us, and Allah wants to see us happy, I am a living proof. May Allah forgives us all.",Abandonment,YouTube,latin,Victim-blaming,Victim-blaming,Negative,,
C00568,"হে জেনারেল শিক্ষায় শিক্ষিত বন্ধু গোন দেখো তোমাদের নোংরা আচরণ বাংলার জমিন থেকে সকল স্কুল কলেজ পুড়িয়ে জ্বালিয়ে ধ্বংস করে দিতে হবে কারণ এখানে সুশিক্ষায় শিক্ষিত হয় না কুশিক্ষায় শিক্ষিত হয় যার কারণে পিতা মাতাকে বৃদ্ধাশ্রমে থাকতে হয় আমি চ্যালেঞ্জ দিয়ে বলতে পারি যে কোন আলেম ওলামাদের পিতা মাতা বৃদ্ধাশ্রমে থাকে না আর এই রোপ নোংরা আচরণ ও কেউ করে না, হা হাজারে একজন দুজন থাকতে পারে আমি তা অস্বীকার করিনা তবে সেটা খুবই নগণ্য, যখন ঘুষের টাকা দিয়ে সাজ সজ্জা নিয়ে আসত তখন খুব মজা করত,আর এখন ভালো লাগে না বাহ্,",Verbal Abuse,YouTube,bengali,Victim-blaming,Victim-blaming,Negative,,
C01199,যে সমস্ত বড় লোক ফ্যামিলির পিতা ও মাথা আজ বৃদ্ধাশ্রমে একটু সুখের আশা চলে আসে সেই সমস্ত পিতা মাতার ও অনেক ভুল আছে তারা তাদের সন্তান দেরকে সঠিক ভাবে হালাল টাকা পয়সা দিয়ে ভালো শিক্ষা দিতে পারে নাই তাই আজ এদের এই করুন অবস্থা। এই সমস্ত বৃত্ত শালী পিতা ও মাতাদেরকে বৃদ্ধাশ্রমে জায়গা দেওয়া উচিত না একটু কস্ট সয্য করতে পারে না চলে আসে বিনা পয়সায় থাকা খাওয়ার জন্য আরে এই সমস্ত বৃদ্ধ শ্রম গুলো হলো গরিব অসহায় মানুষ দের জন্য বড় লোকরা কেন আসে এই সমস্ত জায়গা বড় লোক যারা তাদের কমে'র ফল এ গুলো,Abandonment,YouTube,bengali,Victim-blaming,Victim-blaming,Negative,,
C00300,বিদ্ধাশ্রমে যারা আসে তাদের কিছু মানুষ এর নিজেদের ও দোষ আছে যেমন।তারা ইসলাম শিক্ষা দেয় না।তারা যৈবন কালে মানুষ এর সাথে খারাপ আচরণ করত।তাদের মাঝে কেউ কেউ সন্তান দের অবহেলা করতো।আবার কেউ ভালো মানুষ ছিলেন কিন্তু নিওতি তাদের এই খানে নিয়ে এলো।এই জন্য প্রতিটি মানুষ কে ইসলাম শিক্ষা দিতে হবে।নামাজ শিক্ষা দিতে হবে।কোরআন এর অনুবাদ পড়াতে হবে।হাদিস শিক্ষা দিতে হবে।আর তা না হলে তারা কেন এমন ঘটনা ঘটতেই থাকবে।কেউ আমার কথায় কষ্ট পাবেন না আসলে কথা গুলো সত্যি।,Neglect,YouTube,bengali,Victim-blaming,Victim-blaming,Negative,,
C00270,ছেলে সন্তানকে আলাউদ্দিন শিক্ষা না দিলে এমনই হয়। সবার আগে আল্লাহর দ্বীন শিক্ষা দিতে হবে তারপর দুনিয়াবী পড়াশোনা যতটুকু দরকার ততটুকু করলেই হবে। এরা নিজের ইসলাম ধর্ম অনুযায়ী জীবন-যাপন করে না এবং ছেলে সন্তানকে শেখায় না। তারপরও মানুষ দুনিয়াবী শিক্ষার পেছনে পড়ে থাকে আলাউদ্দিনের শিক্ষার প্রতি কোন গুরুত্ব নেই। পাপের আর হারামের জিন্দেগীতে মানুষ ব্যস্ত আমরা বেশি রাত মানুষের জাহান্নামী জীবন যাপন করতেছি এখন আমাদের বোধোদয় হয় না।,Neglect,YouTube,bengali,Victim-blaming,Victim-blaming,Negative,,
C01213,"এই বাবাদের একটি দোষ আছে, তারা শুধু তাদের সন্তানদের দুনিয়া শিখিয়েছে, দুনিয়াতে কীভাবে বড় হতে হয় সেটা শিখিয়েছে। এখন বাবার বৃদ্ধ বয়সে সন্তানেরা দেখছে বৃদ্ধ মানুষ লালনপালন ভেজাল,কারণ বাবার গুরুত্ব কী? বাবার খেদমত করলে কী লাভ? বাবা অসন্তুষ্ট থাকলে আল্লাহ অসন্তুষ্ট হয় ফলশ্রুতিতে জাহান্নামে যেতে হবে এগুলো তাদের হয়ত শিখানো হয় নি। তাই সকলের প্রতি অনুরোধ সন্তানকে অবশ্যই দুনিয়াবী শিক্ষার পাশাপাশি দ্বীনি শিক্ষায় শিক্ষিত করবেন।",Abandonment,YouTube,bengali,Victim-blaming,Victim-blaming,Negative,,
C00222,"লাইফস্টাইল অনেক গুরুত্বপূর্ণ। তিনি নিজেও হয়তো এলিট ছিলেন( চালচলনে তাই মনে হচ্ছে) । নারীবাদী- স্বাধীনচেতার ফাঁদে পড়ে মেয়েদেরকেও ঐভাবে গড়ে তুলেছেন আর শেষ পরিণতি এটাই হয়েছে। ইসলামী ধর্মীয় শিক্ষা না দিলে এমন হওয়াটা স্বাভাবিক। পশ্চিমা সভ্যতা পরিবার ভাঙতে শেখায়, আর ইসলাম পরিবার গড়তে শেখায়। তাই পরিবার টিকিয়ে রাখার জন্য ইসলাম শেখা, চর্চা করা প্রয়োজন পাশাপাশি ইসলামি সিস্টেমকে এডপ্ট করা প্রয়োজন",Neglect,YouTube,bengali,Victim-blaming,Victim-blaming,Negative,,
